"OrderId","ContractId","DateOfReturn","ReturnAmount","ReturnAmountCurrency","ReturnReason","Resolution"
"112-6741148-4342616","47ff806e-62e8-4dcb-add6-0bc321d227f8","2022-03-18T23:32:33Z","47.87","USD","Accidental order","Refund"
"112-5052866-6500269","65b9661c-9225-43b7-b7f8-1219ae785cf5","2021-12-23T01:13:50Z","7.60","USD","No longer needed/wanted","Refund"
"112-3238077-4781028","7ae61ac2-7852-428a-82eb-b54c147584a3","2021-10-14T17:44:16Z","14.31","USD","Item never arrived","Refund"
"111-2394612-2827457","dce67cfa-4aec-458a-bb08-e94533a17d2b","2021-05-01T23:56:13Z","20.8","USD","Different from website description","Refund"
"111-2394612-2827457","dce67cfa-4aec-458a-bb08-e94533a17d2b","2021-05-01T23:56:13Z","20.8","USD","Different from website description","Refund"
"111-2394612-2827457","dce67cfa-4aec-458a-bb08-e94533a17d2b","2021-05-01T23:56:13Z","20.8","USD","Different from website description","Refund"
"111-2394612-2827457","dce67cfa-4aec-458a-bb08-e94533a17d2b","2021-05-01T23:56:13Z","20.8","USD","Different from website description","Refund"
"114-3158321-9053854","69e11885-8e5c-4954-9852-65e84a9d4b00","2021-01-26T21:38:59Z","123.31","USD","No longer needed/wanted","Refund"
"111-4288965-4925845","9029dd06-10d4-4c03-b4c6-0021ffb18bf2","2021-01-26T21:36:53Z","No Refund","Not Available","No longer needed/wanted","Refund"
"111-4288965-4925845","9029dd06-10d4-4c03-b4c6-0021ffb18bf2","2021-01-26T21:36:53Z","51.8","USD","No longer needed/wanted","Refund"
"113-0998670-3260212","5da1665b-d82c-494c-8dff-0fca81abd658","2020-11-09T22:34:18Z","253.66","USD","Accidental order","Refund"
"112-2027922-7259435","05d9041b-f34a-453c-970e-56a2f327c72f","2020-07-20T19:37:48Z","No Refund","Not Available","Too small","Refund"
"112-6914011-6654630","dddecf79-c543-4057-8624-a2535e06901b","2020-05-24T00:45:55Z","520.49","USD","Defective/Does not work properly","Refund"
"114-8419392-5551400","8c8763d1-ba48-40df-898a-a5ccfa05876f","2020-04-02T19:02:22Z","No Refund","Not Available","Missed estimated delivery date","Exchange"
"114-9719332-4275451","0f6977ae-adf4-492f-b6ef-aac092f76c8f","2019-10-30T04:20:30Z","55.04","USD","Defective/Does not work properly","Refund"
"112-4543750-0438662","0677a51c-2dcc-4958-9c50-e158b2b84dad","2019-06-14T18:09:15Z","23.67","USD","Too large","Refund"
"112-2031310-1325019","7a61330e-ad0f-4325-b2aa-a623f0fd0011","2019-02-28T20:03:51Z","11","USD","Different from website description","Refund"
"111-2928578-2160263","61b32578-feb0-4d6b-b80a-37376605a689","2018-08-08T15:51:01Z","24.18","USD","Different from website description","Refund"
"111-2928578-2160263","61b32578-feb0-4d6b-b80a-37376605a689","2018-08-08T15:51:01Z","24.18","USD","Different from website description","Refund"
"111-1435210-7481012","c6fdf46a-c425-40f0-bb81-9ed05801b227","2017-08-15T04:42:44Z","29.98","USD","Different from website description","Refund"
"002-5841452-9237853","790338e7-cef5-43cb-a9df-06eb01c8ef65","2017-01-10T04:42:02Z","54.79","USD","Different from website description","Refund"
"002-2962009-4037054","03ba8d0b-7037-496a-847f-c901bf892336","2016-11-05T21:31:30Z","80","USD","Different from website description","Refund"
"002-5452539-4503448","ab65b679-29d4-4743-ae73-44996d4356d4","2016-08-08T14:48:51Z","58.42","USD","Accidental order","Refund"
"002-8308669-5889811","42d5bbcd-e960-4f0d-b5be-7a7925b05777","2016-07-26T18:13:09Z","155.62","USD","Different from website description","Refund"
"106-5370895-6362655","5954189d-ec7b-4936-a159-390510d28ee6","2016-04-23T16:37:08Z","159.06","USD","No longer needed/wanted","Refund"
"108-4664810-8773859","b6dd62ff-4709-4f04-8e05-45404ab16034","2016-03-14T02:31:16Z","146.9","USD","Different from website description","Refund"
"107-7296104-3961850","c1a7db42-0bc8-4acf-9206-6b9413ee3e25","2016-02-09T05:00:52Z","28.73","USD","Too large","Refund"
"108-2426794-6372203","42f67d0f-d975-47e6-860b-0776a2f8f387","2015-10-28T21:42:51Z","73.37","USD","Different from website description","Refund"
"108-1081822-5857835","b65503cc-a530-4e50-abc0-eff809479d38","2015-10-28T21:41:25Z","38.19","USD","Different from website description","Refund"
"108-6903996-1226609","9583d74a-3841-487d-a070-c22f42235053","2015-10-04T15:04:09Z","29.99","USD","Different from website description","Refund"
"108-1317599-3840250","e551195f-747b-4697-8450-cf78ca8831dc","2015-04-11T18:41:45Z","3.12","USD","No longer needed/wanted","Refund"
"114-3197493-3380225","2ba349f0-b6d8-4cd5-9caf-80de0415df59","2015-04-11T18:35:23Z","21.91","USD","Style not as expected","Refund"
"109-9470796-4503403","186efa8c-f7ba-4cd9-944b-6f4bf3c04de3","2015-03-30T00:45:45Z","32.85","USD","Too large","Refund"
"103-7308670-4236225","bc61f1f7-9fe5-4458-bb8e-bd6371acdb11","2014-12-01T05:00:23Z","142.35","USD","No longer needed/wanted","Refund"
"103-7308670-4236225","bc61f1f7-9fe5-4458-bb8e-bd6371acdb11","2014-12-01T05:00:23Z","75.27","USD","No longer needed/wanted","Refund"
"108-5551418-3190603","bb64da3c-307a-4f27-bb95-7b82ed9156f4","2014-04-25T14:44:35Z","53.98","USD","Different from website description","Refund"
"112-6278872-9521000","8a800fc0-e679-490e-b130-4b05d3dd6da8","2013-11-26T05:44:09Z","244.18","USD","Defective/Does not work properly","Refund"
