Order Id,Return Requested Date,Return Shipping Method,ASIN,Product Name,Return Reason Code,Total Return Order Quantity
112-6914011-6654630,2020-05-24T00:52:18Z,UPS_RETURNS_PTP_GROUND,B07S1BM89K,ASUS VivoBook Flip Laptop| 14 Touch Screen| Intel Core i3| 4GB Memory| 128GB Solid State Drive| Windows 10 Home in S Mode|TP412F,CR-DEFECTIVE,1,
103-9004305-8703402,2013-05-09T05:38:49Z,Not Applicable,B006HY455E,Bridgedale Woolfusion Trekker Hiking Socks - Green,CR-SWITCHEROO,5,
103-9004305-8703402,2013-04-30T22:01:47Z,Not Applicable,B006HY455E,Bridgedale Woolfusion Trekker Hiking Socks - Green,CR-SWITCHEROO,5,
002-2342702-3950654,2012-10-08T04:30:07Z,Not Applicable,B003TH46HE,Visonic TOWER-20AM Outdoor Octa-PIR Mirror Detector,AMZ-PG-BAD-DESC,1,
104-4321484-6018656,2012-01-21T03:10:53Z,Not Applicable,B000OZ7YFK,Silenx IXP3416 iXtrema Pro Fan,CR-DEFECTIVE,1,
