"Website","ReversalID","OrderID","CreationDate","Quantity","Currency","ReversalStatus","ReversalAmountState","ReversalReason","DirectDebitRefundAmount"
"Amazon.com","ZRUxGiXFQeOBM6ndGxF3+w","112-5052866-6500269","2021-12-29T01:02:40.114Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","uJMH9UaMQeyQp/xdjSEx6w","112-3238077-4781028","2021-10-14T17:50:44.364Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","Yu6NKe6tS3iWrmhhrwTMJw","114-6968060-7787447","2021-07-07T18:58:37.474Z","1","USD","Completed","Final","Damaged during transit","0"
"Amazon.com","m+ZLDZtiSvCC0C6/jYmqIQ","111-2394612-2827457","2021-05-01T23:56:28.525Z","4","USD","Completed","Final","Item not satisfactory","0"
"Amazon.com","m+ZLDZtiSvCC0C6/jYmqIQ","111-2394612-2827457","2021-05-01T23:56:28.525Z","4","USD","Completed","Final","Item not satisfactory","0"
"Amazon.com","m+ZLDZtiSvCC0C6/jYmqIQ","111-2394612-2827457","2021-05-01T23:56:28.525Z","4","USD","Completed","Final","Item not satisfactory","0"
"Amazon.com","m+ZLDZtiSvCC0C6/jYmqIQ","111-2394612-2827457","2021-05-01T23:56:28.525Z","4","USD","Completed","Final","Item not satisfactory","0"
"Amazon.com","Yl657MpQTiCZKVhgQjIgGA","114-3158321-9053854","2021-01-26T23:39:09.384Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","bOAZ+XIcSteO6TPfGG2I2A","111-4288965-4925845","2021-01-26T23:39:01.432Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","dF+FWLTHTM+ACXjz8pjukQ","113-0998670-3260212","2020-11-18T16:16:46.153Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","F88VQSECSFqHW0hOfGaSjA","112-6914011-6654630","2020-06-10T07:04:01.424Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","1s4O1i3uQtiqxLM/VRYFZQ","112-6914011-6654630","2020-06-09T16:16:55.465Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","JvqBbASFTS+aED5BeBUsLw","114-9719332-4275451","2019-10-31T22:50:29.749Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","e7O1ypkDTN+jLdGnWwQ4ww","112-4543750-0438662","2019-06-23T20:06:48.105Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","ZOuJX5flTQWur7yjgH/2bA","112-2031310-1325019","2019-03-03T02:01:19.916Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","dRywifyeRUW/q1Op36EGLA","111-2928578-2160263","2018-08-10T01:35:19.224Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","dRywifyeRUW/q1Op36EGLA","111-2928578-2160263","2018-08-10T01:35:19.224Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","JpAGjTDmTi28Grhzzv8woA","111-4257355-3107409","2017-11-11T11:03:31Z","1","USD","Completed","Final","Pre-order price protection","0"
"Amazon.com","JTqg59WVSmG7On36zVGYGQ","111-1435210-7481012","2017-08-16T00:29:21Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","ruA7g6OTQuqTz+DK/rluqA","002-5841452-9237853","2017-01-11T02:24:58Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","JLhkMHnxToG0w+k3+klfog","002-2962009-4037054","2016-11-05T23:57:22Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","n6B7blVGQAukRNMTh5elJw","002-5452539-4503448","2016-08-10T01:42:27Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","PYuqM8UFSu+NlCKPSIe2jA","002-8308669-5889811","2016-07-28T00:36:05Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","A0JLFkYHSn+uGW9fcz9E4A","106-5370895-6362655","2016-04-26T01:15:09Z","1","USD","Completed","Final","Customer return","0"
