DeliveryPacketId,OrderId,ASIN,ProductName,ReturnStatus,ReturnDate,OrderReturnBy,SendEmailToCustomer,RefundToGiftCertificate,AmountRefunded,BaseCurrencyCode,ProcessingSuccessful,ForeignExchangeTransactionAmount,ForeignExchangeCurrencyCode,PaymentInformation,SettleType,Status
6343PDDPPNL0AV38N0NMK1L6HAUSGJ9LOU9MD0VT561NJ0354A70,D01-0751746-2877007,B00MB6IYHW,"Guardians of the Galaxy (Plus Bonus Features)",Customer Return Complete,2019-07-03T16:49:00Z,Customer Service Initiated,Yes,No,22.01,USD,Yes,Not Available,Not Available,"Not Available",Manual,Amount Settled
B388LVJ5B65R9IE34A7E8T988PRCLE2G0JSVAMSPD1IN5JET5110,D01-6117430-4321124,B003XF1XOQ,"Mockingjay (Hunger Games Trilogy, Book 3)",Customer Return Complete,2013-04-08T05:32:00Z,Customer Initiated,Yes,No,6.56,USD,Yes,Not Available,Not Available,"Not Available",Manual,Amount Settled
BNVQNV04FVQQ8RTTOH4MBKR9MG745UG5I346K7L73V2VMI12O2BG,D01-3824821-9367559,B003XF1XOQ,"Mockingjay (Hunger Games Trilogy, Book 3)",Customer Return Complete,2013-04-08T05:27:00Z,Customer Initiated,Yes,No,6.56,USD,Yes,Not Available,Not Available,"Not Available",Manual,Amount Settled
