DeliveryPacketId,OrderId,ConditionCode,Quantity,ReasonCode,AffectedItemQuantity,DigitalOrderItemId,ClaimCode,TransactionAmount,BaseCurrencyCode,ForeignExchangeTransactionAmount,ForeignExchangeCurrencyCode,MonetaryComponentType,OfferType
6343PDDPPNL0AV38N0NMK1L6HAUSGJ9LOU9MD0VT561NJ0354A70,D01-0751746-2877007,Not Downloaded,1,Accidental Purchase,1,31RVON55H8QM3RLRURHCQP4VMP884U045GAU707C15P82M20P2G0,Not Available,2.02,USD,Not Available,Not Available,Tax,Not Available
6343PDDPPNL0AV38N0NMK1L6HAUSGJ9LOU9MD0VT561NJ0354A70,D01-0751746-2877007,Not Downloaded,1,Accidental Purchase,1,31RVON55H8QM3RLRURHCQP4VMP884U045GAU707C15P82M20P2G0,Not Available,19.99,USD,Not Available,Not Available,Price Amount,Not Available
B388LVJ5B65R9IE34A7E8T988PRCLE2G0JSVAMSPD1IN5JET5110,D01-6117430-4321124,Not Downloaded,1,Download Problem,1,992DO59M882AG3V81Q83IHASO5G850C21VHB4JOUA8PQRPLF3NAG,Not Available,5.99,USD,Not Available,Not Available,Price Amount,Not Available
B388LVJ5B65R9IE34A7E8T988PRCLE2G0JSVAMSPD1IN5JET5110,D01-6117430-4321124,Not Downloaded,1,Download Problem,1,992DO59M882AG3V81Q83IHASO5G850C21VHB4JOUA8PQRPLF3NAG,Not Available,0.57,USD,Not Available,Not Available,Tax,Not Available
BNVQNV04FVQQ8RTTOH4MBKR9MG745UG5I346K7L73V2VMI12O2BG,D01-3824821-9367559,Not Downloaded,1,Download Problem,1,992DO59M882AG3V81Q83IHASO5G850C21VHB4JOUA8PQRPLF3NAG,Not Available,5.99,USD,Not Available,Not Available,Price Amount,Not Available
BNVQNV04FVQQ8RTTOH4MBKR9MG745UG5I346K7L73V2VMI12O2BG,D01-3824821-9367559,Not Downloaded,1,Download Problem,1,992DO59M882AG3V81Q83IHASO5G850C21VHB4JOUA8PQRPLF3NAG,Not Available,0.57,USD,Not Available,Not Available,Tax,Not Available
