DigitalOrderItemId,DeliveryPacketId,AffectedItemQuantity,TransactionAmount,BaseCurrencyCode,ClaimCode,FXTransactionAmount,FXCurrencyCode,MonetaryComponentTypeCode,OfferTypeCode
TR9VR6SN1BU3TEKS4O8HI8H4O81NRUAA8SVM4TKQ6DC3TKDS7DG0,RPU2B7T4MV8RJB8H49QNETROGU29LG9I9PVH75R9TJ3IO38FDNM0,1,0.31,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
KGSLKLIVJN9L5O3M63B1BIJB54QPBMGFQOQKO7AQAF0G96L1256G,PTP13RHIA7G8DCGOL2GHTKDUQPUEV9VO3RTEBRGGKFLIGH0SGIJ0,1,3.79,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
KGSLKLIVJN9L5O3M63B1BIJB54QPBMGFQOQKO7AQAF0G96L1256G,PTP13RHIA7G8DCGOL2GHTKDUQPUEV9VO3RTEBRGGKFLIGH0SGIJ0,1,0.39,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
PIHNE55TRSEJL08JBPGQTP0V6J6A8DIS69TELN6AH13R7V6115BG,5MGDB6R2NMQLVOFA646KH9RBTFC64RDCFJUSB0JUNB2PR2B0CG4G,1,4.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
PIHNE55TRSEJL08JBPGQTP0V6J6A8DIS69TELN6AH13R7V6115BG,5MGDB6R2NMQLVOFA646KH9RBTFC64RDCFJUSB0JUNB2PR2B0CG4G,1,0.52,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
TSGADQINTAOI666V86I9BU4JJDJ5NS45NT8U0SCE9BRF9L8B5MHG,M6BP5JPKSSUE83VPDTKKNTEVNDSV5FARG1NTRLVJKC9E547H332G,1,0.31,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
TSGADQINTAOI666V86I9BU4JJDJ5NS45NT8U0SCE9BRF9L8B5MHG,M6BP5JPKSSUE83VPDTKKNTEVNDSV5FARG1NTRLVJKC9E547H332G,1,2.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
7T5U0I8ARSECBGMKS2DB46FRBRMV35IAPB2JLTSBL46D7OPJQCLG,K7C4UHQ01S7O294T0TO1ULFB0MVD29UN5AV1VCT5HDR23N02QCSG,1,0.31,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
7T5U0I8ARSECBGMKS2DB46FRBRMV35IAPB2JLTSBL46D7OPJQCLG,K7C4UHQ01S7O294T0TO1ULFB0MVD29UN5AV1VCT5HDR23N02QCSG,1,2.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
H9R14ISR2V1RSH3DRELUVUUE1BK0N585JCT4SHJBCAHPPLRDMUC0,LV04UBMDI81J4L12ATD8VIFSHT9IUM1PEI9J3RT452C44TV3D6LG,1,2.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
H9R14ISR2V1RSH3DRELUVUUE1BK0N585JCT4SHJBCAHPPLRDMUC0,LV04UBMDI81J4L12ATD8VIFSHT9IUM1PEI9J3RT452C44TV3D6LG,1,0.31,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
MOA7OJHOH4541CI06O7V6AE3V32G9LMHHU1EHQCEJUKT94EUP6PG,G342D1FTKLA0CCJ9SM54Q4P5CIBJ550L3B8NVLEPB3KL9EM0430G,1,2.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
MOA7OJHOH4541CI06O7V6AE3V32G9LMHHU1EHQCEJUKT94EUP6PG,G342D1FTKLA0CCJ9SM54Q4P5CIBJ550L3B8NVLEPB3KL9EM0430G,1,0.31,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
I3KCSN5UHBP8ESHBFQ459ICCEE3O2VU4Q8TB229B820VT0QN0F90,F9PRF84CA6RFEB6SV5FFURMMVB98VUDMQAN01CVOMVGSQUJ65LHG,1,0.52,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
I3KCSN5UHBP8ESHBFQ459ICCEE3O2VU4Q8TB229B820VT0QN0F90,F9PRF84CA6RFEB6SV5FFURMMVB98VUDMQAN01CVOMVGSQUJ65LHG,1,4.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
P4SLS8CBF4E12NC6N2LQAIA2PD8DV7B6QR47TCOOBU9Q4OHBAF90,QB2183V08Q4DOC5929KJVS422VD9LORJK0U5SQ00EITII9KU4EUG,1,0.31,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
P4SLS8CBF4E12NC6N2LQAIA2PD8DV7B6QR47TCOOBU9Q4OHBAF90,QB2183V08Q4DOC5929KJVS422VD9LORJK0U5SQ00EITII9KU4EUG,1,2.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
DR4L9QHJ1M7R3ACJL6EJKO527J9O3KE4U2BKVQ05V5GJRQS2AQ30,9RKJMSCL1KS93B39U0ID5KAL33LK42UU1SQ36FUQH3TBE6FLC0FG,1,0.41,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
DR4L9QHJ1M7R3ACJL6EJKO527J9O3KE4U2BKVQ05V5GJRQS2AQ30,9RKJMSCL1KS93B39U0ID5KAL33LK42UU1SQ36FUQH3TBE6FLC0FG,1,3.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
KP9EJQMI171SIILDDP2KJJ0MBA4O4GGAQ58D1IT9G654OEOCSN60,GLPCNMV5GJ13EVR1A037CTP1T4TK690EBIJI45SN1MDRI6R67EC0,1,0.31,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
KP9EJQMI171SIILDDP2KJJ0MBA4O4GGAQ58D1IT9G654OEOCSN60,GLPCNMV5GJ13EVR1A037CTP1T4TK690EBIJI45SN1MDRI6R67EC0,1,2.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
QT8D2DDBUPR5NFEP3GJJBU8BJG5HMAMH8KRT8J9MUU69NPU7VP0G,ESILLTL5U24C6SRKGPTRP786KKK8V5JUU47LA65DJNKUMU8CVVFG,1,14.39,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
QT8D2DDBUPR5NFEP3GJJBU8BJG5HMAMH8KRT8J9MUU69NPU7VP0G,ESILLTL5U24C6SRKGPTRP786KKK8V5JUU47LA65DJNKUMU8CVVFG,1,139.0,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
S5HB717R3UN92UGKJCV16Q8UR8CDRIAL75NCTT06GU37KE63IM50,0V1BI2GKH2SVSH2LG49EN4K29IRI3A1IIQ8PPU4JQITJQLEB356G,1,3.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
S5HB717R3UN92UGKJCV16Q8UR8CDRIAL75NCTT06GU37KE63IM50,0V1BI2GKH2SVSH2LG49EN4K29IRI3A1IIQ8PPU4JQITJQLEB356G,1,0.41,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
BIBS1PCP4RFLJ375B0GSE8I5R88254833QS5PLPGAUA727B9HE80,7KPBCH369V9CS0R2O53D0TFI2O4DNEDGP2VA0493KIMEMD25HTR0,1,4.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
BIBS1PCP4RFLJ375B0GSE8I5R88254833QS5PLPGAUA727B9HE80,7KPBCH369V9CS0R2O53D0TFI2O4DNEDGP2VA0493KIMEMD25HTR0,1,0.52,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
626FA91877T3AR5T7IV0F3IS36A3NG52B3H7ITKMBMJ8HCCAVN10,T8AOH4NA9O3MNN7M6T600HE20EHK13M1PLG1P7025JLUAESSDO00,1,0.31,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
626FA91877T3AR5T7IV0F3IS36A3NG52B3H7ITKMBMJ8HCCAVN10,T8AOH4NA9O3MNN7M6T600HE20EHK13M1PLG1P7025JLUAESSDO00,1,2.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
4B5LVR2VV2G0HH0OQ5RLQ34QUQBJTU93T7OF9CKPJ34J225FPJM0,EE3O5LRR0F3F9C5JLIDN8KNOI8OT4CKN2S7O5NVE25351EUN8K2G,1,4.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
4B5LVR2VV2G0HH0OQ5RLQ34QUQBJTU93T7OF9CKPJ34J225FPJM0,EE3O5LRR0F3F9C5JLIDN8KNOI8OT4CKN2S7O5NVE25351EUN8K2G,1,0.52,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
VUSQIBD32D65P9SNTJ16JB7VTVBL8JDUJ9VB27MAOHJ26AHK5R50,96JHV8FIKE69ONLRERSE9IGM0OR8U4SEV57AMET2DCK8OPE8EA00,1,2.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
VUSQIBD32D65P9SNTJ16JB7VTVBL8JDUJ9VB27MAOHJ26AHK5R50,96JHV8FIKE69ONLRERSE9IGM0OR8U4SEV57AMET2DCK8OPE8EA00,1,0.31,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
AEU10VJDRG6C94VGSI1JGB31IPB1TQBM94IQFN32KP40ES0EIERG,ON82B9RNPIBK1JUR7LVRN9TUOBCF1VS8INVJ4PDRM3JG3D5JP7VG,1,3.59,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
AEU10VJDRG6C94VGSI1JGB31IPB1TQBM94IQFN32KP40ES0EIERG,ON82B9RNPIBK1JUR7LVRN9TUOBCF1VS8INVJ4PDRM3JG3D5JP7VG,1,0.37,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
