ASIN,ProductName,OrderId,DigitalOrderItemId,DeclaredCountryCode,BaseCurrencyCode,FulfilledDate,IsFulfilled,Marketplace,OrderDate,OriginalQuantity,OurPrice,OurPriceCurrencyCode,OurPriceTax,OurPriceTaxCurrencyCode,SellerOfRecord,Publisher,ThirdPartyDisplayPrice,ThirdPartyDisplayCurrencyCode,ListPriceAmount,ListPriceCurrencyCode,ListPriceTaxAmount,ListPriceTaxCurrencyCode,GiftItem,OrderingCustomerNickname,GiftCustomerNickname,GiftMessage,GiftEmail,RecipientEmail,GiftRedemption,ItemMergedFromAnotherOrder,QuantityOrdered,ItemFulfilled,ShipFrom,ShipTo,IsOrderEligibleForPrimeBenefit,OfferingSKU,FulfillmentMobileNumber,RechargeAmount,RechargeAmountCurrencyCode,SubscriptionOrderInfoList,PreviouslyPaidDigitalOrderItemId,PreviouslyPaidOrderId,InstallmentOurPrice,InstallmentOurPricePlusTax,DigitalOrderItemAttributes,InstallmentOurPriceCurrencyCode,InstallmentOurPricePlusTaxCurrencyCode
B0026HKO2E,"The Matrix Reloaded",D01-7061374-2083417,OJVLN236M62OR036GNG4LNNMB9TRFHJ3RNLNVHHMMFVEVGAMGLS0,US,USD,2025-08-05T04:36:00Z,Yes,www.amazon.com,2025-08-05T04:36:00Z,1,3.79,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,3.79,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B0B6DZQYTC,"The Matrix",D01-1358768-4419439,A6QBB00KSKM3FI7697GA9PE0U6DNVN2QLD8DPEP7DA10130A8I5G,US,USD,2025-08-04T03:45:00Z,Yes,www.amazon.com,2025-08-04T03:45:00Z,1,3.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,3.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B0CK4Q85RW,"Ad free for Prime Video",D01-1486368-1117011,TR9VR6SN1BU3TEKS4O8HI8H4O81NRUAA8SVM4TKQ6DC3TKDS7DG0,US,USD,2025-08-03T04:14:00Z,Yes,www.amazon.com,2025-08-03T04:14:00Z,1,2.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,2.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"subscriptionId:59KX2PJPN62K3H3XQBG0",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B003YVCJQ0,"Independence Day",D01-7913906-6387402,KGSLKLIVJN9L5O3M63B1BIJB54QPBMGFQOQKO7AQAF0G96L1256G,US,USD,2025-08-02T04:03:00Z,Yes,www.amazon.com,2025-08-02T04:03:00Z,1,3.79,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,3.79,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B07RG51YN5,"Interstellar",D01-2662211-3145809,PIHNE55TRSEJL08JBPGQTP0V6J6A8DIS69TELN6AH13R7V6115BG,US,USD,2025-07-07T04:48:00Z,Yes,www.amazon.com,2025-07-07T04:48:00Z,1,4.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,4.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B0CK4Q85RW,"Ad free for Prime Video",D01-8510557-8557036,TSGADQINTAOI666V86I9BU4JJDJ5NS45NT8U0SCE9BRF9L8B5MHG,US,USD,2025-07-03T04:12:00Z,Yes,www.amazon.com,2025-07-03T04:12:00Z,1,2.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,2.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"subscriptionId:59KX2PJPN62K3H3XQBG0",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B0CK4Q85RW,"Ad free for Prime Video",D01-1081279-1289815,7T5U0I8ARSECBGMKS2DB46FRBRMV35IAPB2JLTSBL46D7OPJQCLG,US,USD,2025-06-03T04:04:00Z,Yes,www.amazon.com,2025-06-03T04:04:00Z,1,2.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,2.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"subscriptionId:59KX2PJPN62K3H3XQBG0",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B0CK4Q85RW,"Ad free for Prime Video",D01-4520695-7846638,H9R14ISR2V1RSH3DRELUVUUE1BK0N585JCT4SHJBCAHPPLRDMUC0,US,USD,2025-05-03T04:17:00Z,Yes,www.amazon.com,2025-05-03T04:17:00Z,1,2.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,2.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"subscriptionId:59KX2PJPN62K3H3XQBG0",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B0CK4Q85RW,"Ad free for Prime Video",D01-1211302-5827435,MOA7OJHOH4541CI06O7V6AE3V32G9LMHHU1EHQCEJUKT94EUP6PG,US,USD,2025-04-03T03:53:00Z,Yes,www.amazon.com,2025-04-03T03:53:00Z,1,2.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,2.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"subscriptionId:59KX2PJPN62K3H3XQBG0",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B0CZS5CHZV,"The Sixth Sense",D01-2502580-6841808,I3KCSN5UHBP8ESHBFQ459ICCEE3O2VU4Q8TB229B820VT0QN0F90,US,USD,2025-03-16T04:05:00Z,Yes,www.amazon.com,2025-03-16T04:05:00Z,1,4.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,4.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
